"invoice_id","city","category","unit_price","quantity","sale_date","sale_time","payment_method","rating"
73,"Eagle Pass","Food and beverages","48.52",3,"2019-03-05","18:17:00","Ewallet","4.00"
74,"Farmers Branch","Electronic accessories","75.91",6,"2019-03-09","18:21:00","Cash","8.70"
75,"Lancaster","Home and lifestyle","74.67",9,"2019-01-22","10:55:00","Ewallet","9.40"
76,"San Antonio","Electronic accessories","41.65",10,"2019-01-13","17:04:00","Credit card","5.40"
77,"Port Arthur","Fashion accessories","49.04",9,"2019-01-09","14:20:00","Credit card","8.60"
78,"Alamo","Fashion accessories","20.01",9,"2019-01-12","15:48:00","Credit card","5.70"
79,"Georgetown","Food and beverages","78.31",10,"2019-03-05","16:24:00","Ewallet","6.60"
80,"Lufkin","Health and beauty","20.38",5,"2019-01-22","18:56:00","Cash","6.00"
81,"Cedar Park","Health and beauty","99.19",6,"2019-01-21","14:42:00","Credit card","5.50"
82,"Brownwood","Food and beverages","96.68",3,"2019-01-26","19:56:00","Ewallet","6.40"
83,"Cedar Park","Food and beverages","19.25",8,"2019-01-23","18:37:00","Ewallet","6.60"
84,"Mission","Food and beverages","80.36",4,"2019-02-23","18:45:00","Ewallet","8.30"
85,"Alice","Sports and travel","48.91",5,"2019-03-09","10:17:00","Cash","6.60"
86,"Baytown","Sports and travel","83.06",7,"2019-03-05","14:31:00","Ewallet","4.00"
87,"Bryan","Fashion accessories","76.52",5,"2019-03-25","10:23:00","Cash","9.90"
88,"Temple","Food and beverages","49.38",7,"2019-03-27","20:35:00","Credit card","7.30"
89,"Lubbock","Sports and travel","42.47",1,"2019-01-02","16:57:00","Cash","5.70"
90,"Bedford","Health and beauty","76.99",6,"2019-02-27","17:55:00","Cash","6.10"
91,"Big Spring","Home and lifestyle","47.38",4,"2019-01-23","10:25:00","Cash","7.10"
92,"North Richland Hills","Sports and travel","44.86",10,"2019-01-26","19:54:00","Ewallet","8.20"
93,"Edinburg","Sports and travel","21.98",7,"2019-01-10","16:42:00","Ewallet","5.10"
94,"Texas City","Health and beauty","64.36",9,"2019-03-12","12:09:00","Credit card","8.60"
95,"San Marcos","Health and beauty","89.75",1,"2019-02-06","20:05:00","Credit card","6.60"
96,"College Station","Electronic accessories","97.16",1,"2019-03-08","20:38:00","Ewallet","7.20"
97,"Amarillo","Health and beauty","87.87",10,"2019-03-29","10:25:00","Ewallet","5.10"
98,"Eagle Pass","Electronic accessories","12.45",6,"2019-02-09","13:11:00","Cash","4.10"
99,"Austin","Food and beverages","52.75",3,"2019-03-23","10:16:00","Ewallet","9.30"
100,"Lubbock","Home and lifestyle","82.70",6,"2019-03-05","18:14:00","Cash","7.40"
101,"San Marcos","Fashion accessories","48.71",1,"2019-03-26","19:20:00","Cash","4.10"
102,"Euless","Fashion accessories","78.55",9,"2019-03-01","13:22:00","Cash","7.20"
103,"Midland","Electronic accessories","23.07",9,"2019-02-01","11:27:00","Cash","4.90"
104,"Garland","Food and beverages","58.26",6,"2019-03-28","16:44:00","Cash","9.90"
105,"Del Rio","Health and beauty","30.35",7,"2019-03-19","18:19:00","Cash","8.00"
106,"Waxahachie","Electronic accessories","88.67",10,"2019-01-12","14:50:00","Ewallet","7.30"
107,"Sugar Land","Fashion accessories","27.38",6,"2019-01-05","20:54:00","Credit card","7.90"
108,"North Richland Hills","Sports and travel","62.13",6,"2019-03-22","20:19:00","Cash","7.40"
109,"Pharr","Food and beverages","33.98",9,"2019-03-24","10:43:00","Cash","4.20"
110,"Rowlett","Electronic accessories","81.97",10,"2019-03-03","14:30:00","Cash","9.20"
111,"Arlington","Sports and travel","16.49",2,"2019-02-05","11:32:00","Ewallet","4.60"
112,"Waco","Health and beauty","98.21",3,"2019-02-05","10:41:00","Credit card","7.80"
113,"Fort Worth","Fashion accessories","72.84",7,"2019-02-15","12:44:00","Cash","8.40"
114,"Carrollton","Home and lifestyle","58.07",9,"2019-01-19","20:07:00","Ewallet","4.30"
115,"San Antonio","Home and lifestyle","80.79",9,"2019-02-01","20:31:00","Credit card","9.50"
116,"Waxahachie","Fashion accessories","27.02",3,"2019-03-02","13:01:00","Credit card","7.10"
117,"Edinburg","Fashion accessories","21.94",5,"2019-03-05","12:29:00","Ewallet","5.30"
118,"Lufkin","Fashion accessories","51.36",1,"2019-01-16","15:26:00","Ewallet","5.20"
119,"Abilene","Food and beverages","10.96",10,"2019-02-02","20:48:00","Ewallet","6.00"
120,"Lufkin","Home and lifestyle","53.44",2,"2019-01-20","20:38:00","Ewallet","4.10"
121,"Amarillo","Electronic accessories","99.56",8,"2019-02-14","17:03:00","Credit card","5.20"
122,"Rockwall","Sports and travel","57.12",7,"2019-01-12","12:02:00","Credit card","6.50"
123,"Kerrville","Sports and travel","99.96",9,"2019-03-09","17:26:00","Credit card","4.20"
124,"Cedar Park","Home and lifestyle","63.91",8,"2019-03-13","19:52:00","Credit card","4.60"
125,"Cleburne","Fashion accessories","56.47",8,"2019-03-09","14:57:00","Ewallet","7.30"
126,"College Station","Home and lifestyle","93.69",7,"2019-03-10","18:44:00","Credit card","4.50"
127,"Brownsville","Sports and travel","32.25",5,"2019-01-27","13:26:00","Cash","9.00"
128,"Pharr","Fashion accessories","31.73",9,"2019-01-08","16:17:00","Credit card","5.90"
129,"San Angelo","Food and beverages","68.54",8,"2019-01-08","15:57:00","Ewallet","8.50"
130,"Frisco","Sports and travel","90.28",9,"2019-02-08","11:15:00","Ewallet","7.20"
131,"Mesquite","Fashion accessories","39.62",7,"2019-01-25","13:18:00","Cash","7.50"
132,"Burleson","Sports and travel","92.13",6,"2019-03-06","20:34:00","Cash","8.30"
133,"Waxahachie","Sports and travel","34.84",4,"2019-02-10","18:36:00","Cash","7.40"
134,"Dallas","Electronic accessories","87.45",6,"2019-02-17","14:40:00","Credit card","8.80"
135,"Galveston","Health and beauty","81.30",6,"2019-03-08","16:43:00","Ewallet","5.30"
136,"Mineral Wells","Fashion accessories","90.22",3,"2019-02-18","19:39:00","Cash","6.20"
137,"Abilene","Electronic accessories","26.31",5,"2019-01-18","20:59:00","Credit card","8.80"
138,"Angleton","Home and lifestyle","34.42",6,"2019-02-18","15:39:00","Cash","9.80"
139,"Round Rock","Sports and travel","51.91",10,"2019-02-16","12:21:00","Cash","8.20"
140,"Brownsville","Sports and travel","72.50",8,"2019-03-16","19:25:00","Ewallet","9.20"
141,"Midland","Sports and travel","89.80",10,"2019-01-23","13:00:00","Credit card","5.40"
142,"Garland","Health and beauty","90.50",10,"2019-01-25","13:48:00","Cash","8.10"
143,"Mansfield","Health and beauty","68.60",10,"2019-02-05","19:57:00","Cash","9.10"
144,"Alice","Food and beverages","30.41",1,"2019-02-22","10:36:00","Credit card","8.40"
145,"Missouri City","Home and lifestyle","77.95",6,"2019-01-21","16:37:00","Credit card","8.00"
146,"Flower Mound","Health and beauty","46.26",6,"2019-03-08","17:11:00","Credit card","9.50"
147,"Denton","Fashion accessories","30.14",10,"2019-02-10","12:28:00","Ewallet","9.20"
148,"Sherman","Health and beauty","66.14",4,"2019-03-19","12:46:00","Credit card","5.60"
149,"North Richland Hills","Home and lifestyle","71.86",8,"2019-03-06","15:07:00","Credit card","6.20"
150,"Texas City","Health and beauty","32.46",8,"2019-03-27","13:48:00","Credit card","4.90"
151,"Brownsville","Fashion accessories","91.54",4,"2019-03-23","19:20:00","Credit card","4.80"
152,"Hurst","Sports and travel","34.56",7,"2019-03-11","16:07:00","Credit card","7.30"
153,"Weatherford","Fashion accessories","83.24",9,"2019-01-29","11:56:00","Credit card","7.40"
154,"Lufkin","Food and beverages","16.48",6,"2019-02-07","18:23:00","Ewallet","9.90"
155,"Del Rio","Sports and travel","80.97",8,"2019-01-28","13:05:00","Cash","9.30"
156,"Weslaco","Food and beverages","92.29",5,"2019-02-20","15:55:00","Cash","9.00"
157,"Bryan","Electronic accessories","72.17",1,"2019-01-04","19:40:00","Cash","6.10"
158,"Irving","Home and lifestyle","50.28",5,"2019-03-07","13:58:00","Ewallet","9.70"
159,"Canyon","Health and beauty","97.22",9,"2019-03-30","14:43:00","Ewallet","6.00"
160,"Alamo","Sports and travel","93.39",6,"2019-03-27","19:18:00","Ewallet","10.00"
161,"Odessa","Food and beverages","43.18",8,"2019-01-19","19:39:00","Credit card","8.30"
162,"Pasadena","Sports and travel","63.69",1,"2019-02-25","16:21:00","Cash","6.00"
163,"Lubbock","Food and beverages","45.79",7,"2019-03-13","19:44:00","Credit card","7.00"
164,"Schertz","Sports and travel","76.40",2,"2019-01-30","19:42:00","Ewallet","6.50"
165,"Euless","Food and beverages","39.90",10,"2019-02-20","15:24:00","Credit card","5.90"
166,"Cleburne","Health and beauty","42.57",8,"2019-02-25","14:12:00","Ewallet","5.60"
167,"Cedar Park","Home and lifestyle","95.58",10,"2019-01-16","13:32:00","Cash","4.80"
168,"Edinburg","Fashion accessories","98.98",10,"2019-02-08","16:20:00","Credit card","8.70"
169,"Rockwall","Food and beverages","51.28",6,"2019-01-19","16:31:00","Cash","6.50"
246,"McAllen","Home and lifestyle","47.59",8,"2019-01-01","14:47:00","Cash","5.70"
170,"Southlake","Sports and travel","69.52",7,"2019-02-01","15:10:00","Credit card","8.50"
171,"Lewisville","Health and beauty","70.01",5,"2019-01-03","11:36:00","Ewallet","5.50"
172,"Longview","Food and beverages","80.05",5,"2019-01-26","12:45:00","Credit card","9.40"
173,"Longview","Electronic accessories","20.85",8,"2019-03-03","19:17:00","Cash","6.30"
174,"Flower Mound","Electronic accessories","52.89",6,"2019-01-19","17:34:00","Credit card","9.80"
175,"Lufkin","Food and beverages","19.79",8,"2019-01-18","12:04:00","Ewallet","8.70"
176,"DeSoto","Home and lifestyle","33.84",9,"2019-03-21","16:21:00","Ewallet","8.80"
177,"Seguin","Food and beverages","22.17",8,"2019-03-03","17:01:00","Credit card","9.60"
178,"Pflugerville","Fashion accessories","22.51",7,"2019-02-13","10:50:00","Credit card","4.80"
179,"Garland","Food and beverages","73.88",6,"2019-03-23","19:16:00","Ewallet","4.40"
180,"Rosenberg","Health and beauty","86.80",3,"2019-01-28","16:47:00","Ewallet","9.90"
181,"Seguin","Fashion accessories","64.26",7,"2019-02-09","10:00:00","Cash","5.70"
182,"Odessa","Food and beverages","38.47",8,"2019-01-23","11:51:00","Cash","7.70"
183,"Conroe","Sports and travel","15.50",10,"2019-03-23","10:55:00","Ewallet","8.00"
184,"Carrollton","Health and beauty","34.31",8,"2019-01-25","15:00:00","Ewallet","5.70"
185,"Alice","Sports and travel","12.34",7,"2019-03-04","11:19:00","Credit card","6.70"
186,"Lancaster","Food and beverages","18.08",3,"2019-03-05","19:46:00","Ewallet","8.00"
187,"Midland","Home and lifestyle","94.49",8,"2019-03-03","19:00:00","Ewallet","7.50"
188,"Sugar Land","Home and lifestyle","46.47",4,"2019-02-08","10:53:00","Cash","7.00"
189,"Del Rio","Home and lifestyle","74.07",1,"2019-02-10","12:50:00","Ewallet","9.90"
190,"Schertz","Home and lifestyle","69.81",4,"2019-01-28","20:50:00","Credit card","5.90"
191,"Pflugerville","Home and lifestyle","77.04",3,"2019-02-11","10:39:00","Credit card","7.20"
192,"Galveston","Fashion accessories","73.52",2,"2019-01-15","13:41:00","Ewallet","4.60"
193,"Brownwood","Food and beverages","87.80",9,"2019-03-16","19:08:00","Cash","9.20"
194,"Grand Prairie","Home and lifestyle","25.55",4,"2019-01-26","20:23:00","Ewallet","5.70"
195,"San Antonio","Electronic accessories","32.71",5,"2019-03-19","11:30:00","Credit card","9.90"
196,"Grapevine","Fashion accessories","74.29",1,"2019-01-13","19:30:00","Cash","5.00"
197,"La Porte","Health and beauty","43.70",2,"2019-03-26","18:03:00","Cash","4.90"
198,"Dallas","Home and lifestyle","25.29",1,"2019-03-23","10:13:00","Ewallet","6.10"
199,"Alamo","Health and beauty","41.50",4,"2019-03-12","19:58:00","Credit card","8.20"
200,"Flower Mound","Food and beverages","71.39",5,"2019-02-17","19:57:00","Credit card","5.50"
201,"Canyon","Sports and travel","19.15",6,"2019-01-29","10:01:00","Credit card","6.80"
202,"Fort Worth","Electronic accessories","57.49",4,"2019-03-15","11:57:00","Cash","6.60"
203,"Rosenberg","Electronic accessories","61.41",7,"2019-01-14","10:02:00","Cash","9.80"
204,"Round Rock","Health and beauty","25.90",10,"2019-02-06","14:51:00","Ewallet","8.70"
205,"Texas City","Home and lifestyle","17.77",5,"2019-02-15","12:42:00","Credit card","5.40"
206,"Kerrville","Health and beauty","23.03",9,"2019-01-03","12:02:00","Ewallet","7.90"
207,"College Station","Electronic accessories","66.65",9,"2019-01-04","18:19:00","Credit card","9.70"
208,"Waxahachie","Home and lifestyle","28.53",10,"2019-03-18","17:38:00","Ewallet","7.80"
209,"Baytown","Fashion accessories","30.37",3,"2019-03-28","13:41:00","Ewallet","5.10"
210,"San Antonio","Electronic accessories","99.73",9,"2019-03-02","19:42:00","Credit card","6.50"
211,"Victoria","Electronic accessories","26.23",9,"2019-01-25","20:24:00","Ewallet","5.90"
212,"Euless","Food and beverages","93.26",9,"2019-01-16","18:08:00","Cash","8.80"
213,"Cleburne","Home and lifestyle","92.36",5,"2019-03-20","19:17:00","Ewallet","4.90"
214,"Angleton","Sports and travel","46.42",3,"2019-01-04","13:24:00","Credit card","4.40"
215,"Texas City","Sports and travel","29.61",7,"2019-03-11","15:53:00","Cash","6.50"
216,"Lancaster","Home and lifestyle","18.28",1,"2019-03-22","15:05:00","Credit card","8.30"
217,"Sugar Land","Sports and travel","24.77",5,"2019-03-24","18:27:00","Cash","8.50"
218,"Friendswood","Electronic accessories","94.64",3,"2019-02-21","16:55:00","Cash","5.50"
219,"Baytown","Fashion accessories","94.87",8,"2019-02-12","12:58:00","Ewallet","8.70"
220,"Pharr","Food and beverages","57.34",3,"2019-03-10","18:59:00","Credit card","7.90"
221,"Dallas","Electronic accessories","45.35",6,"2019-01-31","13:44:00","Ewallet","6.10"
222,"Rowlett","Food and beverages","62.08",7,"2019-03-06","13:46:00","Ewallet","5.40"
223,"Killeen","Electronic accessories","11.81",5,"2019-02-17","18:06:00","Cash","9.40"
224,"Denton","Fashion accessories","12.54",1,"2019-02-21","12:38:00","Cash","8.20"
225,"San Antonio","Food and beverages","43.25",2,"2019-03-20","15:56:00","Cash","6.20"
226,"Haltom City","Sports and travel","87.16",2,"2019-01-11","14:29:00","Credit card","9.70"
227,"Pflugerville","Health and beauty","69.37",9,"2019-01-26","19:14:00","Ewallet","4.00"
228,"Burleson","Electronic accessories","37.06",4,"2019-01-31","16:24:00","Ewallet","9.70"
229,"North Richland Hills","Electronic accessories","90.70",6,"2019-02-26","10:52:00","Cash","5.30"
230,"Waxahachie","Home and lifestyle","63.42",8,"2019-03-11","12:55:00","Ewallet","7.40"
231,"Arlington","Fashion accessories","81.37",2,"2019-01-26","19:28:00","Cash","6.50"
232,"Carrollton","Electronic accessories","10.59",3,"2019-03-12","13:52:00","Credit card","8.70"
233,"Pflugerville","Health and beauty","84.09",9,"2019-02-11","10:54:00","Cash","8.00"
234,"Missouri City","Fashion accessories","73.82",4,"2019-02-21","18:31:00","Credit card","6.70"
235,"Rockwall","Health and beauty","51.94",10,"2019-03-09","18:24:00","Ewallet","6.50"
236,"Schertz","Sports and travel","93.14",2,"2019-01-20","18:09:00","Ewallet","4.10"
237,"Burleson","Health and beauty","17.41",5,"2019-01-28","15:16:00","Credit card","4.90"
238,"Midland","Fashion accessories","44.22",5,"2019-03-05","17:07:00","Credit card","8.60"
239,"Edinburg","Electronic accessories","13.22",5,"2019-03-02","19:26:00","Cash","4.30"
240,"Kerrville","Fashion accessories","89.69",1,"2019-01-11","11:20:00","Ewallet","4.90"
241,"Plano","Food and beverages","24.94",9,"2019-01-11","16:49:00","Credit card","5.60"
242,"Canyon","Health and beauty","59.77",2,"2019-03-11","12:01:00","Credit card","5.80"
243,"Coppell","Fashion accessories","93.20",2,"2019-02-28","18:37:00","Credit card","6.00"
244,"College Station","Home and lifestyle","62.65",4,"2019-01-05","11:25:00","Cash","4.20"
245,"Hurst","Home and lifestyle","93.87",8,"2019-02-02","18:42:00","Credit card","8.30"
247,"Pharr","Electronic accessories","81.40",3,"2019-02-09","19:43:00","Cash","4.80"
248,"Waxahachie","Fashion accessories","17.94",5,"2019-01-23","14:04:00","Ewallet","6.80"
249,"Pasadena","Electronic accessories","77.72",4,"2019-01-07","16:11:00","Credit card","8.80"
250,"Denton","Food and beverages","73.06",7,"2019-01-14","19:06:00","Credit card","4.20"
251,"Pearland","Food and beverages","46.55",9,"2019-02-02","15:34:00","Ewallet","6.40"
252,"Del Rio","Fashion accessories","35.19",10,"2019-03-17","19:06:00","Credit card","8.40"
253,"Grapevine","Sports and travel","14.39",2,"2019-03-02","19:44:00","Credit card","7.20"
254,"Lubbock","Home and lifestyle","23.75",4,"2019-03-16","11:22:00","Cash","5.20"
255,"Brownsville","Home and lifestyle","58.90",8,"2019-01-06","11:23:00","Cash","8.90"
256,"Harlingen","Fashion accessories","32.62",4,"2019-01-29","14:12:00","Cash","9.00"
257,"Haltom City","Electronic accessories","66.35",1,"2019-01-31","10:46:00","Credit card","9.70"
258,"North Richland Hills","Home and lifestyle","25.91",6,"2019-02-05","10:16:00","Ewallet","8.70"
259,"Round Rock","Electronic accessories","32.25",4,"2019-02-13","12:38:00","Ewallet","6.50"
260,"Canyon","Electronic accessories","65.94",4,"2019-02-07","13:05:00","Credit card","6.90"
261,"Weslaco","Electronic accessories","75.06",9,"2019-03-19","13:25:00","Cash","6.20"
262,"Pasadena","Fashion accessories","16.45",4,"2019-03-07","14:53:00","Ewallet","5.60"
263,"Mesquite","Fashion accessories","38.30",4,"2019-03-13","19:22:00","Cash","5.70"
264,"Weatherford","Sports and travel","22.24",10,"2019-02-09","11:00:00","Cash","4.20"
265,"Big Spring","Sports and travel","54.45",1,"2019-02-26","19:24:00","Ewallet","7.90"
266,"San Marcos","Sports and travel","98.40",7,"2019-03-12","12:43:00","Credit card","8.70"
267,"Lancaster","Home and lifestyle","35.47",4,"2019-03-14","17:22:00","Credit card","6.90"
268,"Friendswood","Food and beverages","74.60",10,"2019-01-08","20:55:00","Cash","9.50"
269,"Houston","Home and lifestyle","70.74",4,"2019-01-05","16:05:00","Credit card","4.40"
270,"Houston","Home and lifestyle","35.54",10,"2019-01-04","13:34:00","Ewallet","7.00"
271,"Rockwall","Sports and travel","67.43",5,"2019-03-06","18:13:00","Ewallet","6.30"
272,"Abilene","Health and beauty","21.12",2,"2019-01-03","19:17:00","Cash","9.70"
273,"Alamo","Home and lifestyle","21.54",9,"2019-01-07","11:44:00","Credit card","8.80"
274,"Waco","Home and lifestyle","12.03",2,"2019-01-27","15:51:00","Cash","5.10"
275,"Bryan","Health and beauty","99.71",6,"2019-02-26","16:52:00","Ewallet","7.90"
276,"Rowlett","Fashion accessories","47.97",7,"2019-01-07","20:52:00","Cash","6.20"
277,"Abilene","Home and lifestyle","21.82",10,"2019-01-07","17:36:00","Cash","7.10"
278,"Temple","Fashion accessories","95.42",4,"2019-02-02","13:23:00","Ewallet","6.40"
279,"Little Elm","Fashion accessories","70.99",10,"2019-03-20","16:28:00","Cash","5.70"
280,"New Braunfels","Sports and travel","44.02",10,"2019-03-20","19:57:00","Credit card","9.60"
281,"Seguin","Home and lifestyle","69.96",8,"2019-02-15","17:01:00","Credit card","6.40"
282,"Allen","Home and lifestyle","37.00",1,"2019-03-06","13:29:00","Credit card","7.90"
283,"Alice","Sports and travel","15.34",1,"2019-01-06","11:09:00","Cash","6.50"
284,"Richardson","Health and beauty","99.83",6,"2019-03-04","15:02:00","Ewallet","8.50"
285,"La Porte","Health and beauty","47.67",4,"2019-03-12","14:21:00","Cash","9.10"
286,"Mansfield","Health and beauty","66.68",5,"2019-02-20","18:01:00","Cash","7.60"
287,"Laredo","Home and lifestyle","74.86",1,"2019-03-24","14:49:00","Cash","6.90"
288,"La Porte","Sports and travel","23.75",9,"2019-01-31","12:02:00","Cash","9.50"
289,"Alamo","Food and beverages","48.51",7,"2019-01-25","13:30:00","Credit card","5.20"
290,"Weslaco","Home and lifestyle","94.88",7,"2019-02-03","14:38:00","Cash","4.20"
291,"McKinney","Electronic accessories","40.30",10,"2019-01-24","17:37:00","Credit card","7.00"
292,"Edinburg","Electronic accessories","27.85",7,"2019-03-14","17:20:00","Ewallet","6.00"
293,"Arlington","Electronic accessories","62.48",1,"2019-02-18","20:29:00","Cash","4.70"
294,"Grand Prairie","Food and beverages","36.36",2,"2019-01-21","10:00:00","Cash","7.10"
295,"Midland","Health and beauty","18.11",10,"2019-03-13","11:46:00","Ewallet","5.90"
296,"Amarillo","Electronic accessories","51.92",5,"2019-03-03","13:42:00","Cash","7.50"
297,"Allen","Electronic accessories","28.84",4,"2019-03-29","14:44:00","Cash","6.40"
298,"Kerrville","Home and lifestyle","78.38",6,"2019-01-10","14:16:00","Ewallet","5.80"
299,"Big Spring","Home and lifestyle","60.01",4,"2019-01-25","15:54:00","Cash","4.50"
300,"McKinney","Home and lifestyle","88.61",1,"2019-01-19","10:21:00","Cash","7.70"
301,"Canyon","Fashion accessories","99.82",2,"2019-01-02","18:09:00","Credit card","6.70"
302,"Harlingen","Health and beauty","39.01",1,"2019-03-12","16:46:00","Credit card","4.70"
303,"Lewisville","Food and beverages","48.61",1,"2019-02-25","15:31:00","Cash","4.40"
304,"Denton","Electronic accessories","51.19",4,"2019-03-18","17:15:00","Credit card","4.70"
305,"Missouri City","Electronic accessories","14.96",8,"2019-02-23","12:29:00","Credit card","8.60"
306,"Conroe","Electronic accessories","72.20",7,"2019-03-26","20:14:00","Ewallet","4.30"
307,"Cleburne","Sports and travel","40.23",7,"2019-03-30","13:22:00","Cash","9.60"
308,"Grapevine","Home and lifestyle","88.79",8,"2019-02-17","17:09:00","Cash","4.10"
309,"Pearland","Electronic accessories","26.48",3,"2019-03-21","10:40:00","Ewallet","4.70"
310,"Garland","Fashion accessories","81.91",2,"2019-03-05","17:43:00","Cash","7.80"
311,"Allen","Sports and travel","79.93",6,"2019-01-31","14:04:00","Cash","5.50"
312,"Huntsville","Fashion accessories","69.33",2,"2019-02-05","19:05:00","Ewallet","9.70"
313,"Garland","Food and beverages","14.23",5,"2019-02-01","10:08:00","Credit card","4.40"
314,"Denton","Health and beauty","15.55",9,"2019-03-07","13:12:00","Cash","5.00"
315,"San Marcos","Electronic accessories","78.13",10,"2019-02-10","20:51:00","Cash","4.40"
316,"Richardson","Food and beverages","99.37",2,"2019-02-14","17:29:00","Cash","5.20"
